"id"	"type"	"joint"	"x"	"g"	"l"	"r"	"truez"
1	1	1	1	1	0.95361971053923	Inf	1
1	1	2	1	1	0.496411980601515	0.608977998595208	1
1	2	1	1	1	0.695365198866217	0.75017091956468	1
1	2	2	1	1	0.524335142620927	0.579028310368619	1
2	1	1	1	1	0.981645289601703	Inf	0
2	1	2	1	1	0.970765228005608	Inf	0
2	2	1	1	1	0.776988121060767	0.830197586055719	1
2	2	2	1	1	0.959466244195721	Inf	1
3	1	1	1	1	0.931430011368797	Inf	1
3	1	2	1	1	0	0.0574415307471013	1
3	2	1	1	1	0.932773556997333	Inf	0
3	2	2	1	1	0.0845354271854353	0.38634729437592	1
4	1	1	1	1	0.995231491235945	Inf	1
4	1	2	1	1	0.928214401515055	Inf	0
4	2	1	1	1	0.539787321412116	0.622687224217157	1
4	2	2	1	1	0	0.0686426674926138	1
5	1	1	1	1	0.996311313505404	Inf	0
5	1	2	1	1	0.948440771380445	Inf	1
5	2	1	1	1	0.0494886107945694	0.11300949307115	1
5	2	2	1	1	0.80739631158317	0.878138996088575	1
6	1	1	1	1	0.121820559648926	0.254772885154349	1
6	1	2	1	1	0.305141708124267	0.334103132863367	1
6	2	1	1	1	0.95416603062859	Inf	0
6	2	2	1	1	0.160109335175695	0.194429236316102	1
7	1	1	1	1	0.978486310242167	Inf	0
7	1	2	1	1	0.716208311396755	0.787392574563177	1
7	2	1	1	1	0.558621904320204	0.634745138044276	1
7	2	2	1	1	0	0.142366066194119	1
8	1	1	1	1	0.000569588365033269	0.0282969878055155	1
8	1	2	1	1	0.247360703578866	0.383234365414762	1
8	2	1	1	1	0.944637778017026	Inf	1
8	2	2	1	1	0.621703160754928	0.647412492308832	1
9	1	1	1	1	0	0.0404453302246934	1
9	1	2	1	1	0.0635248306598558	0.109032182665308	1
9	2	1	1	1	0.993384637920813	Inf	1
9	2	2	1	1	0.942396982507903	Inf	0
10	1	1	1	1	0.0303571915224193	0.0851445955639188	1
10	1	2	1	1	0.991543986025116	Inf	0
10	2	1	1	1	0.975151761515527	Inf	0
10	2	2	1	1	0.976702874061969	Inf	0
11	1	1	1	1	0.967388361842682	Inf	0
11	1	2	1	1	0.990156856527796	Inf	0
11	2	1	1	1	0.877488145963097	Inf	1
11	2	2	1	1	0	0.189665578702347	1
12	1	1	1	1	0.985720466707732	Inf	1
12	1	2	1	1	0.781917924992456	0.840434846555452	1
12	2	1	1	1	0.944878155582078	Inf	0
12	2	2	1	1	0.558222026000461	0.85641731580409	1
13	1	1	1	1	0.886786526809212	Inf	1
13	1	2	1	1	0.998735519887715	Inf	0
13	2	1	1	1	0.267305459822583	0.31669660877813	1
13	2	2	1	1	0.0551956657299257	0.166377727907514	1
14	1	1	1	1	0.465632521057773	0.527107911763746	1
14	1	2	1	1	0.0740678088778086	0.235857001198065	1
14	2	1	1	1	0.35389088042036	0.405391226883296	1
14	2	2	1	1	0.341123268427307	0.492204202300052	1
15	1	1	1	1	0.318709333367083	0.382936200204436	1
15	1	2	1	1	0.482006285759798	0.63316619400137	1
15	2	1	1	1	0.0254956400021911	0.10730541702151	1
15	2	2	1	1	0.202583512688249	0.268319796874537	1
16	1	1	1	1	0.031381940927304	0.150890090393063	1
16	1	2	1	1	0.860875043842791	0.935205686751127	1
